Programa;Área;Linha de Pesquisa;Usuário;Segmento;Domínio;Subdomínio;Classificação;Score;Status;Tipo Classificação;Feedback;Data de Processamento
Engenharia Elétrica – PPGEEL;Processamento de Informação;Comunicações e Processamento de Sinais;Eduardo Augusto Bezerra;Integrated Design & Validation (IDV);101.Methodology;101.2;ACARE 3: Hierarchical methodologies;0.275;Aprovado;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Informação;Comunicações e Processamento de Sinais;Eduardo Augusto Bezerra;Software, Modeling, Simulation & Information Processing;48.Mission Architecture, System Analysis, and Concept Development;48.1;NASA 1: Tools and Methodologies for Defining Mission Architectures or Mission Design;0.277;Aprovado;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Informação;Comunicações e Processamento de Sinais;Eduardo Augusto Bezerra;Software, Modeling, Simulation & Information Processing;44.Software Development, Engineering and Integrity;44.5;NASA 2: Architecture and Design of Software Systems;0.269;Aprovado;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Informação;Comunicações e Processamento de Sinais;Eduardo Augusto Bezerra;Autonomous Systems;41.Reasoning and Acting;41.2;NASA 3: Activity and Resource Planning and Scheduling;0.26;Aprovado;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Informação;Engenharia Biomédica;Eduardo Augusto Bezerra;Integrated Design & Validation (IDV);104.EcoDesign and Engineering for Sustainability;104.7;ACARE 1: Methods and Tools for Life Extension;0.265;Em análise;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Informação;Engenharia Biomédica;Eduardo Augusto Bezerra;Integrated Design & Validation (IDV);100.Reference Data for R&D Use and live/RT data Use;100.1;ACARE 2: Reference Data (bibliographies, abstracts service, statistical information);0.212;Em análise;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Informação;Engenharia Biomédica;Eduardo Augusto Bezerra;Human Factors (HFA);110.Human Information Processing;110.1;ACARE 3: Knowledge engineering;0.211;Em análise;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Informação;Engenharia Biomédica;Eduardo Augusto Bezerra;Human Health, Life Support & Habitation;26.Human Health and Performance;26.5;NASA 1: Food Production, Processing and Preservation;0.252;Em análise;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Informação;Engenharia Biomédica;Eduardo Augusto Bezerra;Human Health, Life Support & Habitation;26.Human Health and Performance;26.1;NASA 2: Medical Diagnosis and Prognosis;0.17;Em análise;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Informação;Engenharia Biomédica;Eduardo Augusto Bezerra;Human Health, Life Support & Habitation;26.Human Health and Performance;26.6;NASA 3: Long Duration Health;0.166;Em análise;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Informação;Materiais, Dispositivos, Circuitos e Sistemas Eletrônicos;Eduardo Augusto Bezerra;Aerostructures (AST);21.Noise Reduction;21.2;ACARE 1: Techniques in relation with actuators and sensors such as piezoelectric or piezoceramic materials, electrostrictive ceramics... and their mechanical modellisation.;0.468;Em análise;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Informação;Materiais, Dispositivos, Circuitos e Sistemas Eletrônicos;Eduardo Augusto Bezerra;Aircraft Avionics, Systems & Equipment (AVS);56.Electrical Power Generation, Distribution & Actuation;56.1;ACARE 2: System components. generators, alternators, converters, inverters, batteries, circuit protection (circuit breakers, current limiters, automatic bus transfer), wiring, connectors, control systems, measuring instruments, warning indicators;0.343;Em análise;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Informação;Materiais, Dispositivos, Circuitos e Sistemas Eletrônicos;Eduardo Augusto Bezerra;Aerostructures (AST);21.Noise Reduction;21.10;ACARE 3: New concepts of passive or adaptive materials;0.342;Em análise;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Informação;Materiais, Dispositivos, Circuitos e Sistemas Eletrônicos;Eduardo Augusto Bezerra;Propulsion Systems;1.Chemical Propulsion;1.1;NASA 1: Integrated Systems and Ancillary Technologies;0.399;Em análise;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Informação;Materiais, Dispositivos, Circuitos e Sistemas Eletrônicos;Eduardo Augusto Bezerra;Propulsion Systems;3.Aero Propulsion;3.1;NASA 2: Integrated Systems and Ancillary Technologies;0.399;Em análise;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Informação;Materiais, Dispositivos, Circuitos e Sistemas Eletrônicos;Eduardo Augusto Bezerra;Propulsion Systems;2.Electric Space Propulsion;2.1;NASA 3: Integrated Systems and Ancillary Technologies;0.389;Em análise;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Informação;Sistemas Embarcados;Eduardo Augusto Bezerra;Innovative Concepts & Scenarios (ICS);115.Scenarios analysis;115.2;ACARE 1: Elaboration of basic trends (societal, cultural);0.238;Em análise;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Informação;Sistemas Embarcados;Eduardo Augusto Bezerra;Flight Physics (FLP);2.Unsteady Aerodynamics;2.4;ACARE 2: Buffeting;0.225;Em análise;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Informação;Sistemas Embarcados;Eduardo Augusto Bezerra;Unmanned Aerial Systems (UAS);108.UAS & Scaled Flight Testing;108.5;ACARE 3: Subscale;0.215;Em análise;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Informação;Sistemas Embarcados;Eduardo Augusto Bezerra;Human Health, Life Support & Habitation;26.Human Health and Performance;26.5;NASA 1: Food Production, Processing and Preservation;0.229;Em análise;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Informação;Sistemas Embarcados;Eduardo Augusto Bezerra;Human Health, Life Support & Habitation;26.Human Health and Performance;26.2;NASA 2: Prevention and Countermeasures;0.212;Em análise;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Informação;Sistemas Embarcados;Eduardo Augusto Bezerra;Software, Modeling, Simulation & Information Processing;44.Software Development, Engineering and Integrity;44.5;NASA 3: Architecture and Design of Software Systems;0.205;Aprovado;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Informação;Sistemas Embarcados;Eduardo Augusto Bezerra;Flight Computing & Avionics;FCA.2;FCA.2;NASA Manual 1: Avionics Systems & Subsystems;1.0;Aprovado;Manual;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Informação;Sistemas Embarcados;Eduardo Augusto Bezerra;Flight Computing & Avionics;FCA.1;FCA.1;NASA Manual 2: Avionics Component Technologies;1.0;Aprovado;Manual;;13/07/2025 15:34
Engenharia de Automação e Sistemas - PosAutomação;Controle;Modelagem, Simulação e Identificação de Sistemas;;Integrated Design & Validation (IDV);101.Methodology;101.4;ACARE 1: system validation through modelling and simulation;0.544;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Controle;Modelagem, Simulação e Identificação de Sistemas;;Integrated Design & Validation (IDV);96.Business modelling;96.1;ACARE 2: Development of business modelling methods and tools;0.518;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Controle;Modelagem, Simulação e Identificação de Sistemas;;Flight Physics (FLP);7.Wind Tunnel Testing/Technology;7.1;ACARE 3: Model design/manufacturing;0.464;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Controle;Modelagem, Simulação e Identificação de Sistemas;;Software, Modeling, Simulation & Information Processing;46.Simulation;46.3;NASA 1: Model-Based Systems Engineering (MBSE);0.5;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Controle;Modelagem, Simulação e Identificação de Sistemas;;Autonomous Systems;40.Situational and Self Awareness;40.3;NASA 2: Knowledge and Model Building;0.487;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Controle;Modelagem, Simulação e Identificação de Sistemas;;Software, Modeling, Simulation & Information Processing;45.Modeling;45.3;NASA 3: Human-System Performance Modeling;0.464;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Controle;Controle de Sistemas Dinâmicos Contínuos, a Eventos Discretos e Híbridos;;Propulsion (PRO);36.Computational Methods;36.9;ACARE 1: Complex applications, system analysis, control;0.396;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Controle;Controle de Sistemas Dinâmicos Contínuos, a Eventos Discretos e Híbridos;;Aircraft Avionics, Systems & Equipment (AVS);61.Fuel systems;61.3;ACARE 2: Management system - level indicators, actuators, control system;0.378;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Controle;Controle de Sistemas Dinâmicos Contínuos, a Eventos Discretos e Híbridos;;Aerostructures (AST);21.Noise Reduction;21.3;ACARE 3: Automatics and real time systems for the study and for the realisation of controllers;0.365;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Controle;Controle de Sistemas Dinâmicos Contínuos, a Eventos Discretos e Híbridos;;Thermal Management Systems;60.Thermal Control Components and Systems;60.8;NASA 1: Measurement and Control;0.357;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Controle;Controle de Sistemas Dinâmicos Contínuos, a Eventos Discretos e Híbridos;;Propulsion Systems;1.Chemical Propulsion;1.1;NASA 2: Integrated Systems and Ancillary Technologies;0.343;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Controle;Controle de Sistemas Dinâmicos Contínuos, a Eventos Discretos e Híbridos;;Propulsion Systems;2.Electric Space Propulsion;2.1;NASA 3: Integrated Systems and Ancillary Technologies;0.331;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Controle;Medição e Instrumentação para Controle e Automação;;Aerostructures (AST);21.Noise Reduction;21.3;ACARE 1: Automatics and real time systems for the study and for the realisation of controllers;0.373;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Controle;Medição e Instrumentação para Controle e Automação;;Aircraft Avionics, Systems & Equipment (AVS);56.Electrical Power Generation, Distribution & Actuation;56.5;ACARE 2: Elecromechanical actuation (EMA) - Flight control systems;0.355;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Controle;Medição e Instrumentação para Controle e Automação;;Aerostructures (AST);21.Noise Reduction;21.2;ACARE 3: Techniques in relation with actuators and sensors such as piezoelectric or piezoceramic materials, electrostrictive ceramics... and their mechanical modellisation.;0.353;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Controle;Medição e Instrumentação para Controle e Automação;;Thermal Management Systems;60.Thermal Control Components and Systems;60.8;NASA 1: Measurement and Control;0.354;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Controle;Medição e Instrumentação para Controle e Automação;;Human Health, Life Support & Habitation;26.Human Health and Performance;26.7;NASA 2: System Transformative Health and Performance Concepts;0.349;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Controle;Medição e Instrumentação para Controle e Automação;;Aerospace Power & Energy Storage;10.Power Management and Distribution;10.1;NASA 3: Management and Control;0.284;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Automação e Sistemas Mecatrônicos;Robôs Manipuladores;;Aerostructures (AST);14.Advanced Manufacturing Processes & Technologies;14.2;ACARE 1: Robotics;0.403;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Automação e Sistemas Mecatrônicos;Robôs Manipuladores;;Aircraft Operations (AOP);107.Maintenance, Repair & Overhaul (MRO);107.9;ACARE 2: Robotics;0.358;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Automação e Sistemas Mecatrônicos;Robôs Manipuladores;;Integrated Design & Validation (IDV);90.Autonomous operation;90.1;ACARE 3: Autonomous behaviour:;0.329;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Automação e Sistemas Mecatrônicos;Robôs Manipuladores;;Robotic Systems;16.Robotics Integration;16.3;NASA 1: Robot Software;0.456;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Automação e Sistemas Mecatrônicos;Robôs Manipuladores;;Robotic Systems;13.Manipulation;13.1;NASA 2: Dexterous Manipulation;0.357;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Automação e Sistemas Mecatrônicos;Robôs Manipuladores;;Ground, Test & Surface Systems;58.Mission Success Technologies;58.4;NASA 3: Autonomous, Real-Time Command and Control;0.308;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Automação e Sistemas Mecatrônicos;Robótica Móvel;;Aerostructures (AST);14.Advanced Manufacturing Processes & Technologies;14.2;ACARE 1: Robotics;0.595;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Automação e Sistemas Mecatrônicos;Robótica Móvel;;Aircraft Operations (AOP);107.Maintenance, Repair & Overhaul (MRO);107.9;ACARE 2: Robotics;0.507;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Automação e Sistemas Mecatrônicos;Robótica Móvel;;Unmanned Aerial Systems (UAS);108.UAS & Scaled Flight Testing;108.3;ACARE 3: Aerial Robotics;0.464;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Automação e Sistemas Mecatrônicos;Robótica Móvel;;Robotic Systems;16.Robotics Integration;16.3;NASA 1: Robot Software;0.554;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Automação e Sistemas Mecatrônicos;Robótica Móvel;;Robotic Systems;16.Robotics Integration;16.2;NASA 2: Modeling and Simulation for Robots;0.465;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Automação e Sistemas Mecatrônicos;Robótica Móvel;;Autonomous Systems;41.Reasoning and Acting;41.3;NASA 3: Motion Planning;0.452;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Automação e Sistemas Mecatrônicos;Sistemas de Visão Computacional;;Integrated Design & Validation (IDV);72.On-board systems engineering;72.1;ACARE 1: Integration system technologies;0.407;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Automação e Sistemas Mecatrônicos;Sistemas de Visão Computacional;;;71.Methods and IT tools for Collaborative Product & Process Engineering;71.3;ACARE 2: Workflow management systems;0.382;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Automação e Sistemas Mecatrônicos;Sistemas de Visão Computacional;;Integrated Design & Validation (IDV);101.Methodology;101.5;ACARE 3: integration and validation of technologies;0.376;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Automação e Sistemas Mecatrônicos;Sistemas de Visão Computacional;;Software, Modeling, Simulation & Information Processing;44.Software Development, Engineering and Integrity;44.2;NASA 1: Verification and Validation of Software Systems;0.371;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Automação e Sistemas Mecatrônicos;Sistemas de Visão Computacional;;Software, Modeling, Simulation & Information Processing;44.Software Development, Engineering and Integrity;44.5;NASA 2: Architecture and Design of Software Systems;0.361;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Automação e Sistemas Mecatrônicos;Sistemas de Visão Computacional;;Propulsion Systems;1.Chemical Propulsion;1.1;NASA 3: Integrated Systems and Ancillary Technologies;0.35;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Automação e Sistemas Mecatrônicos;Controle de Tráfego Urbano;;Integrated Design & Validation (IDV);90.Autonomous operation;90.1;ACARE 1: Autonomous behaviour:;0.303;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Automação e Sistemas Mecatrônicos;Controle de Tráfego Urbano;;Aircraft Avionics, Systems & Equipment (AVS);59.Environmental control System;59.10;ACARE 2: Personal climate control facilitation (temperature, airflow, humidity);0.265;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Automação e Sistemas Mecatrônicos;Controle de Tráfego Urbano;;Innovative Concepts & Scenarios (ICS);115.Scenarios analysis;115.1;ACARE 3: Identification of drivers of change (technological, demographic, cultural, political);0.263;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Automação e Sistemas Mecatrônicos;Controle de Tráfego Urbano;;Autonomous Systems;41.Reasoning and Acting;41.3;NASA 1: Motion Planning;0.292;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Automação e Sistemas Mecatrônicos;Controle de Tráfego Urbano;;Aerospace Power & Energy Storage;10.Power Management and Distribution;10.1;NASA 2: Management and Control;0.288;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Automação e Sistemas Mecatrônicos;Controle de Tráfego Urbano;;Ground, Test & Surface Systems;58.Mission Success Technologies;58.4;NASA 3: Autonomous, Real-Time Command and Control;0.275;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Automação e Sistemas Mecatrônicos;Empresas Virtuais e Redes Colaborativas;;Aerostructures (AST);12.Non-Metallic Materials & basic processes;12.6;ACARE 1: Cordierite;0.241;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Automação e Sistemas Mecatrônicos;Empresas Virtuais e Redes Colaborativas;;Human Factors (HFA);109.Human Factors Integration, Man-machine Interface;109.2;ACARE 2: Displays - Colour, 3D display, Virtual reality, Information presentation;0.216;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Automação e Sistemas Mecatrônicos;Empresas Virtuais e Redes Colaborativas;;Aerostructures (AST);13.Composite Materials & basic processes;13.4;ACARE 3: Elaboration processes.;0.215;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Automação e Sistemas Mecatrônicos;Empresas Virtuais e Redes Colaborativas;;Materials, Structures, Mechanical Systems & Manufacturing;54.Structural Dynamics;54.2;NASA 1: Vibroacoustics;0.217;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Automação e Sistemas Mecatrônicos;Empresas Virtuais e Redes Colaborativas;;Human Health, Life Support & Habitation;26.Human Health and Performance;26.5;NASA 2: Food Production, Processing and Preservation;0.183;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Automação e Sistemas Mecatrônicos;Empresas Virtuais e Redes Colaborativas;;Materials, Structures, Mechanical Systems & Manufacturing;53.Manufacturing;53.4;NASA 3: Sustainable Manufacturing;0.16;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Automação e Sistemas Mecatrônicos;Atuadores;;;118.From Industry 4.0 to Industry 5.0;118.10;ACARE 1: Resilient;0.231;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Automação e Sistemas Mecatrônicos;Atuadores;;;118.From Industry 4.0 to Industry 5.0;118.2;ACARE 2: Digital Factory;0.213;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Automação e Sistemas Mecatrônicos;Atuadores;;;118.From Industry 4.0 to Industry 5.0;118.1;ACARE 3: Factory of the Future;0.212;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Automação e Sistemas Mecatrônicos;Atuadores;;;24.Environmental Control and Life Support Systems and Habitation Services;24.4;NASA 1: Habitation Systems;0.227;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Automação e Sistemas Mecatrônicos;Atuadores;;Exploration Destination Systems;30.In-Situ Resource Utilization;30.1;NASA 2: Destination Reconnaissance and Resource Assessment;0.197;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Automação e Sistemas Mecatrônicos;Atuadores;;Flight Vehicle Systems;62.Aerosciences;62.2;NASA 3: Aerothermodynamics;0.194;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Sistemas Computacionais;Tempo Real;;Integrated Design & Validation (IDV);97.Numerical Models (including Fast Time Simulation);97.4;ACARE 1: Faster-than-real-time time simulators;0.287;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Sistemas Computacionais;Tempo Real;;Integrated Design & Validation (IDV);98.Real Time Simulators;98.1;ACARE 2: Real-time simulator;0.235;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Sistemas Computacionais;Tempo Real;;Aerostructures (AST);21.Noise Reduction;21.3;ACARE 3: Automatics and real time systems for the study and for the realisation of controllers;0.23;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Sistemas Computacionais;Tempo Real;;Ground, Test & Surface Systems;58.Mission Success Technologies;58.4;NASA 1: Autonomous, Real-Time Command and Control;0.272;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Sistemas Computacionais;Tempo Real;;Software, Modeling, Simulation & Information Processing;44.Software Development, Engineering and Integrity;44.6;NASA 2: Real-Time Software;0.229;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Sistemas Computacionais;Tempo Real;;;32.Mission Operations and Safety;32.3;NASA 3: Training;0.198;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Sistemas Computacionais;Tolerância a Falhas e Segurança;;Innovative Concepts & Scenarios (ICS);115.Scenarios analysis;115.2;ACARE 1: Elaboration of basic trends (societal, cultural);0.228;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Sistemas Computacionais;Tolerância a Falhas e Segurança;;Innovative Concepts & Scenarios (ICS);115.Scenarios analysis;115.1;ACARE 2: Identification of drivers of change (technological, demographic, cultural, political);0.209;Em análise;Original;;
Engenharia de Automação e Sistemas - PosAutomação;Sistemas Computacionais;Tolerância a Falhas e Segurança;;;118.From Industry 4.0 to Industry 5.0;118.8;ACARE 3: Human-centric;0.189;Em análise;Original;;
